PID;DayCareType;Daycare_Name;Mailing_City;Mailing_State;Mailing_Address;Mailing_Zip;Telephone;URL;Capacity (optional);Age Range (optional);Original_Name;Normalized_Name;Normalized_Name_Core;Search_Name_Primary;Search_Name_Variants;Cleaning_Rules_Applied
3482732;Independent Center;ASCENSION CHILD CARE;Shelburne;VT;;;;;;,,;ASCENSION CHILD CARE;ASCENSION CHILD CARE;ASCENSION;ASCENSION CHILD CARE;ASCENSION CHILD CARE || ASCENSION;
3494400;College/University Based;JEFFERSON CLG CCC-HILLSBORO;Hillsboro;MO;;;;;;,,;JEFFERSON CLG CCC-HILLSBORO;JEFFERSON CLG CCC HILLSBORO;JEFFERSON CLG;JEFFERSON CLG CHILD CARE CENTER HILLSBORO;JEFFERSON CLG CHILD CARE CENTER HILLSBORO || JEFFERSON COLLEGE CCC HILLSBORO || JEFFERSON CLG CCC HILLSBORO || JEFFERSON CLG HILLSBORO || JEFFERSON CLG;CLG->COLLEGE || CCC->CHILD CARE CENTER || removed city tokens from core: HILLSBORO
3505023;Church/Synagogue;CENTRAL BAPTIST PRE-SCH & KDGN;Johnson City;TN;;;;;;,,;CENTRAL BAPTIST PRE-SCH & KDGN;CENTRAL BAPTIST PRE SCH AND KDGN;CENTRAL BAPTIST;CENTRAL BAPTIST PRE SCH AND KINDERGARTEN;CENTRAL BAPTIST PRE SCH AND KINDERGARTEN || CENTRAL BAPTIST PRESCHOOL SCH AND KDGN || CENTRAL BAPTIST PRE SCHOOL AND KDGN || CENTRAL BAPTIST PRESCHOOL AND KDGN || CENTRAL BAPTIST PRE SCH AND KDGN || CENTRAL BAPTIST AND || CENTRAL BAPTIST;PRE->PRESCHOOL || PRE->PRE SCHOOL || SCH->SCHOOL || KDGN->KINDERGARTEN || PRE SCH->PRESCHOOL
3508817;Independent Center;COMMUNITY NURSERY SCH GUILFORD;Guilford;CT;;;;;;,,;COMMUNITY NURSERY SCH GUILFORD;COMMUNITY NURSERY SCH GUILFORD;COMMUNITY;COMMUNITY NURSERY SCHOOL GUILFORD;COMMUNITY NURSERY SCHOOL GUILFORD || COMMUNITY NURSERY SCH GUILFORD || COMMUNITY GUILFORD || COMMUNITY;SCH->SCHOOL || removed city tokens from core: GUILFORD
3514127;Independent Center;KREIGER EARLY CHLDHD CTR;Palm Harbor;FL;;;;;;,,;KREIGER EARLY CHLDHD CTR;KREIGER EARLY CHLDHD CTR;KREIGER CHLDHD;KREIGER EARLY CHILDHOOD CTR;KREIGER EARLY CHILDHOOD CTR || KREIGER EARLY CHLDHD CENTER || KREIGER EARLY CHLDHD CENTRE || KREIGER EARLY CHLDHD CTR || KREIGER CHLDHD;CHLDHD->CHILDHOOD || CTR->CENTER || CTR->CENTRE
3528544;Independent Center;CHILDREN'S VILLAGE ORCHARD;Vancouver;WA;;;;;;,,;CHILDREN'S VILLAGE ORCHARD;CHILDRENS VILLAGE ORCHARD;VILLAGE ORCHARD;CHILDRENS VILLAGE ORCHARD;CHILDRENS VILLAGE ORCHARD || VILLAGE ORCHARD;
3530274;Church/Synagogue;ADVENTURE PLACE;Uniontown;OH;;;;;;,,;ADVENTURE PLACE;ADVENTURE PLACE;ADVENTURE PLACE;ADVENTURE PLACE;ADVENTURE PLACE;
3531474;Church/Synagogue;ALL SAINTS LUTH PRE-SCH;Tamarac;FL;;;;;;,,;ALL SAINTS LUTH PRE-SCH;ALL SAINTS LUTH PRE SCH;ALL SAINTS LUTH;ALL SAINTS LUTH PRESCHOOL SCH;ALL SAINTS LUTH PRESCHOOL SCH || ALL SAINTS LUTHERAN PRE SCH || ALL SAINTS LUTH PRE SCHOOL || ALL SAINTS LUTH PRESCHOOL || ALL SAINTS LUTH PRE SCH || ALL SAINTS LUTH;LUTH->LUTHERAN || PRE->PRESCHOOL || PRE->PRE SCHOOL || SCH->SCHOOL || PRE SCH->PRESCHOOL
3531656;Independent Center;KIDS CENTRE;Seattle;WA;;;;;;,,;KIDS CENTRE;KIDS CENTRE;KIDS;KIDS CENTRE;KIDS CENTRE || KIDS;
3534660;Independent Center;J C LYNCH PRE K;Coward;SC;;;;;;,,;J C LYNCH PRE K;J C LYNCH PREK;J C LYNCH;J C LYNCH PRE KINDERGARTEN;J C LYNCH PRE KINDERGARTEN || J C LYNCH PREK || J C LYNCH;PREK->PRE KINDERGARTEN
3541106;Church/Synagogue;FIRST BAPTIST CH OF TAHOE CITY;Tahoe City;CA;;;;;;,,;FIRST BAPTIST CH OF TAHOE CITY;FIRST BAPTIST CH OF TAHOE CITY;FIRST BAPTIST CH;FIRST BAPTIST CHURCH OF TAHOE CITY;FIRST BAPTIST CHURCH OF TAHOE CITY || FIRST BAPTIST CH OF TAHOE CITY || FIRST BAPTIST CH OF TAHOECITY || FIRST BAPTIST CH TAHOE CITY || FIRST BAPTIST CH OF TAHOE || FIRST BAPTIST CH;CH->CHURCH || TAHOE CITY->TAHOECITY (compound city) || removed city tokens from core: TAHOE CITY
3544940;Independent Center;TCC EARLY LEARNING CENTER;Tacoma;WA;;;;;;,,;TCC EARLY LEARNING CENTER;TCC EARLY LEARNING CENTER;TCC;TCC EARLY LEARNING CENTER;TCC EARLY LEARNING CENTER || TCC;
3546261;Church/Synagogue;GRACE LUTHERAN PRE-SCHOOL;Miami;FL;;;;;;,,;GRACE LUTHERAN PRE-SCHOOL;GRACE LUTHERAN PRESCHOOL;GRACE LUTHERAN;GRACE LUTHERAN PRESCHOOL;GRACE LUTHERAN PRESCHOOL || GRACE LUTHERAN;
3551761;Independent Center;SUNRISE CHILDREN'S CENTER;Amherst;NH;;;;;;,,;SUNRISE CHILDREN'S CENTER;SUNRISE CHILDRENS CENTER;SUNRISE;SUNRISE CHILDRENS CENTER;SUNRISE CHILDRENS CENTER || SUNRISE;
3561091;Montessori;WEST MONTESSORI-COPPERFIELD;Houston;TX;;;;;;,,;WEST MONTESSORI-COPPERFIELD;WEST MONTESSORI COPPERFIELD;WEST MONTESSORI COPPERFIELD;WEST MONTESSORI COPPERFIELD;WEST MONTESSORI COPPERFIELD;
3561340;Church/Synagogue;HOLY COVENANT CHILD DEV CENTER;Katy;TX;;;;;;,,;HOLY COVENANT CHILD DEV CENTER;HOLY COVENANT CHILD DEV CENTER;HOLY COVENANT;HOLY COVENANT CHILD DEVELOPMENT CENTER;HOLY COVENANT CHILD DEVELOPMENT CENTER || HOLY COVENANT CHILD DEV CENTER || HOLY COVENANT;DEV->DEVELOPMENT
3566297;Other Chains;ALLIANCE A/S-LEE;Abilene;TX;;;;;;,,;ALLIANCE A/S-LEE;ALLIANCE A S LEE;ALLIANCE A S LEE;ALLIANCE A S LEE;ALLIANCE A S LEE;
3566663;Independent Center;STARBRIGHT PRE-SCHOOL;Austin;TX;;;;;;,,;STARBRIGHT PRE-SCHOOL;STARBRIGHT PRESCHOOL;STARBRIGHT;STARBRIGHT PRESCHOOL;STARBRIGHT PRESCHOOL || STARBRIGHT;
3566962;Church/Synagogue;RIVERBEND CHRISTIAN SCHOOL CDC;Austin;TX;;;;;;,,;RIVERBEND CHRISTIAN SCHOOL CDC;RIVERBEND CHRISTIAN SCHOOL CDC;RIVERBEND CHRISTIAN;RIVERBEND CHRISTIAN SCHOOL CHILD DEVELOPMENT CENTER;RIVERBEND CHRISTIAN SCHOOL CHILD DEVELOPMENT CENTER || RIVERBEND CHRISTIAN SCHOOL CDC || RIVERBEND CHRISTIAN;CDC->CHILD DEVELOPMENT CENTER
3567928;Church/Synagogue;TLC SUNSHINE;Wichita Falls;TX;;;;;;,,;TLC SUNSHINE;TLC SUNSHINE;TLC SUNSHINE;TLC SUNSHINE;TLC SUNSHINE;
3568166;Church/Synagogue;ST PHILLIPS CHILD DEV CENTER;Round Rock;TX;;;;;;,,;ST PHILLIPS CHILD DEV CENTER;ST PHILLIPS CHILD DEV CENTER;ST PHILLIPS;ST PHILLIPS CHILD DEVELOPMENT CENTER;ST PHILLIPS CHILD DEVELOPMENT CENTER || SAINT PHILLIPS CHILD DEV CENTER || ST PHILLIPS CHILD DEV CENTER || ST PHILLIPS;ST->SAINT || ST->ST || DEV->DEVELOPMENT
3574907;Church/Synagogue;FRANCES JACOBSON ECC;Boston;MA;;;;;;,,;FRANCES JACOBSON ECC;FRANCES JACOBSON ECC;FRANCES JACOBSON;FRANCES JACOBSON EARLY CHILDHOOD EDUCATION CENTER;FRANCES JACOBSON EARLY CHILDHOOD EDUCATION CENTER || FRANCES JACOBSON EARLY CHILDHOOD CENTER || FRANCES JACOBSON ECC || FRANCES JACOBSON;ECC->EARLY CHILDHOOD CENTER || ECC->EARLY CHILDHOOD EDUCATION CENTER
3583439;Independent Center;SOUTHSIDE CHILD DEV CTR;Baton Rouge;LA;;;;;;,,;SOUTHSIDE CHILD DEV CTR;SOUTHSIDE CHILD DEV CTR;SOUTHSIDE;SOUTHSIDE CHILD DEVELOPMENT CENTER;SOUTHSIDE CHILD DEVELOPMENT CENTER || SOUTHSIDE CHILD DEVELOPMENT CTR || SOUTHSIDE CHILD DEV CENTER || SOUTHSIDE CHILD DEV CENTRE || SOUTHSIDE CHILD DEV CTR || SOUTHSIDE;DEV->DEVELOPMENT || CTR->CENTER || CTR->CENTRE || DEV CTR->DEVELOPMENT CENTER
3583506;Church/Synagogue;LITTLE ELKS PRE-SCHOOL;Lexington;KY;;;;;;,,;LITTLE ELKS PRE-SCHOOL;LITTLE ELKS PRESCHOOL;LITTLE ELKS;LITTLE ELKS PRESCHOOL;LITTLE ELKS PRESCHOOL || LITTLE ELKS;
3588764;Church/Synagogue;LITITZ CHRN EARLY LRNG CTR;Lititz;PA;;;;;;,,;LITITZ CHRN EARLY LRNG CTR;LITITZ CHRN EARLY LRNG CTR;CHRN LRNG;LITITZ CHILDREN EARLY LRNG CTR;LITITZ CHILDREN EARLY LRNG CTR || LITITZ CHRN EARLY LEARNING CTR || LITITZ CHRN EARLY LRNG CENTER || LITITZ CHRN EARLY LRNG CENTRE || LITITZ CHRN EARLY LRNG CTR || LITITZ CHRN LRNG || CHRN LRNG;CHRN->CHILDREN || LRNG->LEARNING || CTR->CENTER || CTR->CENTRE || removed city tokens from core: LITITZ
3595119;Church/Synagogue;LONE OAK FIRST BAPTIST PRE-SCH;Paducah;KY;;;;;;,,;LONE OAK FIRST BAPTIST PRE-SCH;LONE OAK FIRST BAPTIST PRE SCH;LONE OAK FIRST BAPTIST;LONE OAK FIRST BAPTIST PRESCHOOL SCH;LONE OAK FIRST BAPTIST PRESCHOOL SCH || LONE OAK FIRST BAPTIST PRE SCHOOL || LONE OAK FIRST BAPTIST PRESCHOOL || LONE OAK FIRST BAPTIST PRE SCH || LONE OAK FIRST BAPTIST;PRE->PRESCHOOL || PRE->PRE SCHOOL || SCH->SCHOOL || PRE SCH->PRESCHOOL
3598408;Church/Synagogue;MUMS WEEKDAY DCC;Mebane;NC;;;;;;,,;MUMS WEEKDAY DCC;MUMS WEEKDAY DCC;MUMS WEEKDAY;MUMS WEEKDAY CHILD CARE CENTER;MUMS WEEKDAY CHILD CARE CENTER || MUMS WEEKDAY DAY CARE CENTER || MUMS WEEKDAY DCC || MUMS WEEKDAY;DCC->DAY CARE CENTER || DCC->CHILD CARE CENTER
3600128;Church/Synagogue;FIRST METHODIST PRE-SCHOOL;Alexandria;LA;;;;;;,,;FIRST METHODIST PRE-SCHOOL;FIRST METHODIST PRESCHOOL;FIRST METHODIST;FIRST METHODIST PRESCHOOL;FIRST METHODIST PRESCHOOL || FIRST METHODIST;
3606835;Church/Synagogue;CROSBY METHODIST WEEKDAY PS;Crosby;TX;;;;;;,,;CROSBY METHODIST WEEKDAY PS;CROSBY METHODIST WEEKDAY PS;METHODIST WEEKDAY PS;CROSBY METHODIST WEEKDAY PS;CROSBY METHODIST WEEKDAY PS || METHODIST WEEKDAY PS;removed city tokens from core: CROSBY
3607451;Church/Synagogue;VALLEY VIEW DAY SCHOOL;Clackamas;OR;;;;;;,,;VALLEY VIEW DAY SCHOOL;VALLEY VIEW DAY SCHOOL;VALLEY VIEW;VALLEY VIEW DAY SCHOOL;VALLEY VIEW DAY SCHOOL || VALLEY VIEW;
3608704;Independent Center;EWEB CHILD DEVELOPMENT CTR;Eugene;OR;;;;;;,,;EWEB CHILD DEVELOPMENT CTR;EWEB CHILD DEVELOPMENT CTR;EWEB;EWEB CHILD DEVELOPMENT CENTER;EWEB CHILD DEVELOPMENT CENTER || EWEB CHILD DEVELOPMENT CENTRE || EWEB CHILD DEVELOPMENT CTR || EWEB;CTR->CENTER || CTR->CENTRE
3611543;Church/Synagogue;CHILDREN'S CREATIVE PLAY DAY;Allen;TX;;;;;;,,;CHILDREN'S CREATIVE PLAY DAY;CHILDRENS CREATIVE PLAY DAY;CREATIVE PLAY;CHILDRENS CREATIVE PLAY DAY;CHILDRENS CREATIVE PLAY DAY || CREATIVE PLAY;
3616749;Other Chains;BENT TREE CHILD DEV CENTER;Addison;TX;;;;;;,,;BENT TREE CHILD DEV CENTER;BENT TREE CHILD DEV CENTER;BENT TREE;BENT TREE CHILD DEVELOPMENT CENTER;BENT TREE CHILD DEVELOPMENT CENTER || BENT TREE CHILD DEV CENTER || BENT TREE;DEV->DEVELOPMENT
3623194;Independent Center;KIDS ACADEMY;Calumet City;IL;;;;;;,,;KIDS ACADEMY;KIDS ACADEMY;KIDS;KIDS ACADEMY;KIDS ACADEMY || KIDS;
3623522;Independent Center;JENNINGS-LYON DAY CARE;Sheridan;IL;;;;;;,,;JENNINGS-LYON DAY CARE;JENNINGS LYON DAY CARE;JENNINGS LYON;JENNINGS LYON DAY CARE;JENNINGS LYON DAY CARE || JENNINGS LYON;
3629227;YMCA/YWCA;ROBERT K FOX FAMILY YMCA;Lancaster;OH;;;;;;,,;ROBERT K FOX FAMILY YMCA;ROBERT K FOX FAMILY YMCA;ROBERT K FOX FAMILY YMCA;ROBERT K FOX FAMILY YMCA;ROBERT K FOX FAMILY YMCA;
3633058;Independent Center;KIDS & COMPANY CHILD CARE CTR;Wilmington;NC;;;;;;,,;KIDS & COMPANY CHILD CARE CTR;KIDS AND CHILD CARE CTR;KIDS;KIDS AND CHILD CARE CENTER;KIDS AND CHILD CARE CENTER || KIDS AND CHILD CARE CENTRE || KIDS AND CHILD CARE CTR || KIDS AND || KIDS;CTR->CENTER || CTR->CENTRE
3636323;Independent Center;SUNSHINE DEVELOPMENTAL SCHOOL;Jamaica;NY;;;;;;,,;SUNSHINE DEVELOPMENTAL SCHOOL;SUNSHINE DEVELOPMENTAL SCHOOL;SUNSHINE DEVELOPMENTAL;SUNSHINE DEVELOPMENTAL SCHOOL;SUNSHINE DEVELOPMENTAL SCHOOL || SUNSHINE DEVELOPMENTAL;
3638371;Independent Center;GREENWAY LEARNING CENTER;Greenbelt;MD;;;;;;,,;GREENWAY LEARNING CENTER;GREENWAY LEARNING CENTER;GREENWAY;GREENWAY LEARNING CENTER;GREENWAY LEARNING CENTER || GREENWAY;
3638864;Independent Center;EPWORTH CHILDREN'S CENTER;Cockeysville;MD;;;;;;,,;EPWORTH CHILDREN'S CENTER;EPWORTH CHILDRENS CENTER;EPWORTH;EPWORTH CHILDRENS CENTER;EPWORTH CHILDRENS CENTER || EPWORTH;
3639014;Church/Synagogue;CONGREGATION BETH ELOHIM ECC;Brooklyn;NY;;;;;;,,;CONGREGATION BETH ELOHIM ECC;CONGREGATION BETH ELOHIM ECC;CONGREGATION BETH ELOHIM;CONGREGATION BETH ELOHIM EARLY CHILDHOOD EDUCATION CENTER;CONGREGATION BETH ELOHIM EARLY CHILDHOOD EDUCATION CENTER || CONGREGATION BETH ELOHIM EARLY CHILDHOOD CENTER || CONGREGATION BETH ELOHIM ECC || CONGREGATION BETH ELOHIM;ECC->EARLY CHILDHOOD CENTER || ECC->EARLY CHILDHOOD EDUCATION CENTER
3644289;Church/Synagogue;WOODBROOK EARLY EDUCATION;Baltimore;MD;;;;;;,,;WOODBROOK EARLY EDUCATION;WOODBROOK EARLY EDUCATION;WOODBROOK EDUCATION;WOODBROOK EARLY EDUCATION;WOODBROOK EARLY EDUCATION || WOODBROOK EDUCATION;
3651294;Church/Synagogue;ISLE OF HOPE BAPTIST CCC;Savannah;GA;;;;;;,,;ISLE OF HOPE BAPTIST CCC;ISLE OF HOPE BAPTIST CCC;ISLE HOPE BAPTIST;ISLE OF HOPE BAPTIST CHILD CARE CENTER;ISLE OF HOPE BAPTIST CHILD CARE CENTER || ISLE OF HOPE BAPTIST CCC || ISLE OF HOPE BAPTIST || ISLE HOPE BAPTIST;CCC->CHILD CARE CENTER
3653254;Church/Synagogue;DUNWOODY UMC PRE-SCHOOL;Dunwoody;GA;;;;;;,,;DUNWOODY UMC PRE-SCHOOL;DUNWOODY UMC PRESCHOOL;UMC;DUNWOODY UMC PRESCHOOL;DUNWOODY UMC PRESCHOOL || DUNWOODY UMC || UMC;removed city tokens from core: DUNWOODY
3655393;Church/Synagogue;FIRST UNITED METH PRE-SCHOOL;Fort Lauderdale;FL;;;;;;,,;FIRST UNITED METH PRE-SCHOOL;FIRST UNITED METH PRESCHOOL;FIRST UNITED METH;FIRST UNITED METHODIST PRESCHOOL;FIRST UNITED METHODIST PRESCHOOL || FIRST UNITED METH PRESCHOOL || FIRST UNITED METH;METH->METHODIST
4143501;Montessori;RESTON MONTESSORI SCHOOL;Reston;VA;;;;;;,,;RESTON MONTESSORI SCHOOL;RESTON MONTESSORI SCHOOL;MONTESSORI;RESTON MONTESSORI SCHOOL;RESTON MONTESSORI SCHOOL || RESTON MONTESSORI || MONTESSORI;removed city tokens from core: RESTON
4164048;Independent Center;FORESIGHT LEARNING CENTER;Flagstaff;AZ;;;;;;,,;FORESIGHT LEARNING CENTER;FORESIGHT LEARNING CENTER;FORESIGHT;FORESIGHT LEARNING CENTER;FORESIGHT LEARNING CENTER || FORESIGHT;
4181876;Independent Center;CREATIVE WORLD LEARNING CENTER;Annandale;VA;;;;;;,,;CREATIVE WORLD LEARNING CENTER;CREATIVE WORLD LEARNING CENTER;CREATIVE WORLD;CREATIVE WORLD LEARNING CENTER;CREATIVE WORLD LEARNING CENTER || CREATIVE WORLD;
4185303;Church/Synagogue;ABIDING HOPE PRE-SCHOOL;Littleton;CO;;;;;;,,;ABIDING HOPE PRE-SCHOOL;ABIDING HOPE PRESCHOOL;ABIDING HOPE;ABIDING HOPE PRESCHOOL;ABIDING HOPE PRESCHOOL || ABIDING HOPE;
4199926;Independent Center;SIMPLY KIDS PRE-SCHOOL;Hot Springs;AR;;;;;;,,;SIMPLY KIDS PRE-SCHOOL;SIMPLY KIDS PRESCHOOL;SIMPLY KIDS;SIMPLY KIDS PRESCHOOL;SIMPLY KIDS PRESCHOOL || SIMPLY KIDS;
4201359;Church/Synagogue;BALDWIN CHILD CARE CENTER;Millersville;MD;;;;;;,,;BALDWIN CHILD CARE CENTER;BALDWIN CHILD CARE CENTER;BALDWIN;BALDWIN CHILD CARE CENTER;BALDWIN CHILD CARE CENTER || BALDWIN;
4201529;Church/Synagogue;FIRST BAPTIST WEE CENTER;De Queen;AR;;;;;;,,;FIRST BAPTIST WEE CENTER;FIRST BAPTIST WEE CENTER;FIRST BAPTIST WEE;FIRST BAPTIST WEE CENTER;FIRST BAPTIST WEE CENTER || FIRST BAPTIST WEE;
4205056;;DUCK POND DAY CARE-MILFORD;Milford;CT;;;;;;,,;DUCK POND DAY CARE-MILFORD;DUCK POND DAY CARE MILFORD;DUCK POND;DUCK POND DAY CARE MILFORD;DUCK POND DAY CARE MILFORD || DUCK POND MILFORD || DUCK POND;removed city tokens from core: MILFORD
4207494;;CAMPORA FAMILY RESOURCE CENTER;Winchester;TN;;;;;;,,;CAMPORA FAMILY RESOURCE CENTER;CAMPORA FAMILY RESOURCE CENTER;CAMPORA FAMILY RESOURCE;CAMPORA FAMILY RESOURCE CENTER;CAMPORA FAMILY RESOURCE CENTER || CAMPORA FAMILY RESOURCE;
4218039;Church/Synagogue;ST JEROME'S AFTER SCHOOL PGRM;Hyattsville;MD;;;;;;,,;ST JEROME'S AFTER SCHOOL PGRM;ST JEROMES AFTER SCHOOL PGRM;ST JEROMES AFTER PGRM;SAINT JEROMES AFTER SCHOOL PGRM;SAINT JEROMES AFTER SCHOOL PGRM || ST JEROMES AFTER SCHOOL PGRM || ST JEROMES AFTER PGRM;ST->SAINT || ST->ST
4220290;YMCA/YWCA;ANDOVER/N ANDOVER YMCA CC PRGM;Andover;MA;;;;;;,,;ANDOVER/N ANDOVER YMCA CC PRGM;ANDOVER N ANDOVER YMCA CC PRGM;N YMCA PRGM;ANDOVER N ANDOVER YMCA COMMUNITY CENTER PRGM;ANDOVER N ANDOVER YMCA COMMUNITY CENTER PRGM || ANDOVER N ANDOVER YMCA CHILD CARE PRGM || ANDOVER N ANDOVER YMCA CC PRGM || ANDOVER N ANDOVER YMCA PRGM || N YMCA PRGM;CC->CHILD CARE || CC->COMMUNITY CENTER || removed city tokens from core: ANDOVER
4221232;YMCA/YWCA;MALDEN YMCA;Malden;MA;;;;;;,,;MALDEN YMCA;MALDEN YMCA;YMCA;MALDEN YMCA;MALDEN YMCA || YMCA;removed city tokens from core: MALDEN
4229777;Independent Center;SMART KIDS CC & LEARNING CTR;Washington;PA;;;;;;,,;SMART KIDS CC & LEARNING CTR;SMART KIDS CC AND LEARNING CTR;SMART KIDS;SMART KIDS COMMUNITY CENTER AND LEARNING CTR;SMART KIDS COMMUNITY CENTER AND LEARNING CTR || SMART KIDS CHILD CARE AND LEARNING CTR || SMART KIDS CC AND LEARNING CENTER || SMART KIDS CC AND LEARNING CENTRE || SMART KIDS CC AND LEARNING CTR || SMART KIDS AND || SMART KIDS;CC->CHILD CARE || CC->COMMUNITY CENTER || CTR->CENTER || CTR->CENTRE
4230453;YMCA/YWCA;FIRESTONE PK YMCA SACC-GLOVER;Akron;OH;;;;;;,,;FIRESTONE PK YMCA SACC-GLOVER;FIRESTONE PK YMCA SACC GLOVER;FIRESTONE PK YMCA SACC GLOVER;FIRESTONE PK YMCA SCHOOL AGE CHILD CARE GLOVER;FIRESTONE PK YMCA SCHOOL AGE CHILD CARE GLOVER || FIRESTONE PK YMCA SACC GLOVER;SACC->SCHOOL AGE CHILD CARE
4246529;Independent Center;LIL CRITTERS PRE-SCHOOL;Norwalk;CT;;;;;;,,;LIL CRITTERS PRE-SCHOOL;LIL CRITTERS PRESCHOOL;LIL CRITTERS;LIL CRITTERS PRESCHOOL;LIL CRITTERS PRESCHOOL || LIL CRITTERS;
4248785;Independent Center;DUVENECK KIDS CLUB;Palo Alto;CA;;;;;;,,;DUVENECK KIDS CLUB;DUVENECK KIDS CLUB;DUVENECK KIDS CLUB;DUVENECK KIDS CLUB;DUVENECK KIDS CLUB;
4250958;Montessori;DECATUR MONTESSORI SCHOOL;Decatur;GA;;;;;;,,;DECATUR MONTESSORI SCHOOL;DECATUR MONTESSORI SCHOOL;MONTESSORI;DECATUR MONTESSORI SCHOOL;DECATUR MONTESSORI SCHOOL || DECATUR MONTESSORI || MONTESSORI;removed city tokens from core: DECATUR
4259461;Church/Synagogue;NEW NORTHSIDE CHILD DEV CTR;Saint Louis;MO;;;;;;,,;NEW NORTHSIDE CHILD DEV CTR;NEW NORTHSIDE CHILD DEV CTR;NEW NORTHSIDE;NEW NORTHSIDE CHILD DEVELOPMENT CENTER;NEW NORTHSIDE CHILD DEVELOPMENT CENTER || NEW NORTHSIDE CHILD DEVELOPMENT CTR || NEW NORTHSIDE CHILD DEV CENTER || NEW NORTHSIDE CHILD DEV CENTRE || NEW NORTHSIDE CHILD DEV CTR || NEW NORTHSIDE;DEV->DEVELOPMENT || CTR->CENTER || CTR->CENTRE || DEV CTR->DEVELOPMENT CENTER
4262303;Independent Center;BARNERT TEMPLE PRE-SCHOOL;Franklin Lakes;NJ;;;;;;,,;BARNERT TEMPLE PRE-SCHOOL;BARNERT TEMPLE PRESCHOOL;BARNERT TEMPLE;BARNERT TEMPLE PRESCHOOL;BARNERT TEMPLE PRESCHOOL || BARNERT TEMPLE;
4275518;College/University Based;OSU CHILD DEV CENTER;Corvallis;OR;;;;;;,,;OSU CHILD DEV CENTER;OSU CHILD DEV CENTER;OSU;OSU CHILD DEVELOPMENT CENTER;OSU CHILD DEVELOPMENT CENTER || OSU CHILD DEV CENTER || OSU;DEV->DEVELOPMENT
4276756;Independent Center;WILLOW'S CHRISTIAN CCC;Iron Ridge;WI;;;;;;,,;WILLOW'S CHRISTIAN CCC;WILLOWS CHRISTIAN CCC;WILLOWS CHRISTIAN;WILLOWS CHRISTIAN CHILD CARE CENTER;WILLOWS CHRISTIAN CHILD CARE CENTER || WILLOWS CHRISTIAN CCC || WILLOWS CHRISTIAN;CCC->CHILD CARE CENTER
4277786;Independent Center;KEEPS EXTENDED EDUC PROGRAM;Mamaroneck;NY;;;;;;,,;KEEPS EXTENDED EDUC PROGRAM;KEEPS EXTENDED EDUC PROGRAM;KEEPS EXTENDED EDUC;KEEPS EXTENDED EDUCATION PROGRAM;KEEPS EXTENDED EDUCATION PROGRAM || KEEPS EXTENDED EDUC PROGRAM || KEEPS EXTENDED EDUC;EDUC->EDUCATION
4284959;Independent Center;BUILDING BLOCKS CHILDCARE;Newburgh;NY;;;;;;,,;BUILDING BLOCKS CHILDCARE;BUILDING BLOCKS CHILDCARE;BUILDING BLOCKS;BUILDING BLOCKS CHILDCARE;BUILDING BLOCKS CHILDCARE || BUILDING BLOCKS;
4292011;Independent Center;APPLESEED EARLY LEARNING CTR;Worcester;MA;;;;;;,,;APPLESEED EARLY LEARNING CTR;APPLESEED EARLY LEARNING CTR;APPLESEED;APPLESEED EARLY LEARNING CENTER;APPLESEED EARLY LEARNING CENTER || APPLESEED EARLY LEARNING CENTRE || APPLESEED EARLY LEARNING CTR || APPLESEED;CTR->CENTER || CTR->CENTRE
4306002;Independent Center;SPOKANE CHILD DEVELOPMENT CENT;Spokane Vly;WA;;;;;;,,;SPOKANE CHILD DEVELOPMENT CENT;SPOKANE CHILD DEVELOPMENT CENT;CENT;SPOKANE CHILD DEVELOPMENT CENT;SPOKANE CHILD DEVELOPMENT CENT || SPOKANE CENT || CENT;removed city tokens from core: SPOKANE
4308517;Independent Center;NEW MORNING;Bedford;NH;;;;;;,,;NEW MORNING;NEW MORNING;NEW MORNING;NEW MORNING;NEW MORNING;
4314401;Independent Center;KIDS CONNECTION;Joliet;IL;;;;;;,,;KIDS CONNECTION;KIDS CONNECTION;KIDS CONNECTION;KIDS CONNECTION;KIDS CONNECTION;
4317300;Other Chains;MINNIELAND ACADEMY;Harrisonburg;VA;;;;;;,,;MINNIELAND ACADEMY;MINNIELAND ACADEMY;MINNIELAND;MINNIELAND ACADEMY;MINNIELAND ACADEMY || MINNIELAND;
4321480;Church/Synagogue;ST PAUL'S LUTHERAN PRE-SCH;Waverly;IA;;;;;;,,;ST PAUL'S LUTHERAN PRE-SCH;ST PAULS LUTHERAN PRE SCH;ST PAULS LUTHERAN;ST PAULS LUTHERAN PRESCHOOL SCH;ST PAULS LUTHERAN PRESCHOOL SCH || SAINT PAULS LUTHERAN PRE SCH || ST PAULS LUTHERAN PRE SCHOOL || ST PAULS LUTHERAN PRESCHOOL || ST PAULS LUTHERAN PRE SCH || ST PAULS LUTHERAN;ST->SAINT || ST->ST || PRE->PRESCHOOL || PRE->PRE SCHOOL || SCH->SCHOOL || PRE SCH->PRESCHOOL
4323464;Independent Center;C B KING MEMORIAL SCHOOL;Mc Gehee;AR;;;;;;,,;C B KING MEMORIAL SCHOOL;C B KING MEMORIAL SCHOOL;C B KING MEMORIAL;C B KING MEMORIAL SCHOOL;C B KING MEMORIAL SCHOOL || C B KING MEMORIAL;
